operador,corredor,url_cotizador,precio_visible_sin_cuenta,requiere_registro_o_login,carga_sin_js_pesado,comision_200,tipo_cambio_200,monto_recibido_200,bloqueos_captcha_antibot,notas,fecha_verificacion
Vigo,US->SV,https://www.westernunion.com/us/en/vigo-money.html,No,Si - requiere registro/inicio de sesion en la app,No aplica,No visible,No visible,No visible,vigo.com y vigomoneytransfer.com no resuelven (error de conexion).,"Vigo ya no tiene sitio propio: es 'Vigo Money by Western Union', una billetera solo por app. La pagina de WU no incluye cotizador; el precio exige descargar la app y crear/usar cuenta. Descartar para verificacion web automatizada.",2026-07-31
Vigo,CA->SV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No disponible desde Canada.,2026-07-31
uLink / UniTeller,US->SV,https://ulink.com/send-money/el-salvador/,PARCIAL - solo el tipo de cambio; la comision NO,No para ver el TC; Si para ver la comision,No - el HTML del servidor trae la tabla 'Sending Method | Service Fee' vacia; se llena por JS/API,NO VISIBLE - la tabla de comisiones queda vacia y el selector 'Select payer' nunca se puebla para El Salvador,1 USD = 1.00 USD ('uLink daily rate'),200.00 USD,Banner de cookies. Sin CAPTCHA.,El widget acepta monto y metodo de recepcion (Account Credit / Cash Pickup) pero no llega a mostrar comision. Aviso: el TC mostrado aplica solo a pagos con la e-wallet de la SuperApp. Para el precio final hay que entrar a send.uniteller.com con cuenta. Banner de 'flash sale' con TC bloqueado 3 dias: el TC publicado puede ser promocional.,2026-07-31
uLink / UniTeller,CA->SV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uLink solo envia desde EE.UU.,2026-07-31
Intermex,US->SV,https://www.intermexonline.com/,No desde fuera de EE.UU.,"No (el cotizador es publico), pero esta geobloqueado",No - widget JS,No visible (muestra 0.00 USD),No visible,No visible,GEOBLOQUEO: overlay 'ARE YOU OUTSIDE OF THE US? The Intermex app only allow consumers to send money from the U.S.' que tapa el cotizador. Todos los valores quedan en $0.00. Banner de cookies.,"La estructura del cotizador SI existe en la home (campos 'You send', 'Fee per wire', 'Total cost' y radios de Debit/Credit/Bank), asi que probablemente funciona sin cuenta desde una IP estadounidense. Requiere reverificar desde EE.UU.",2026-07-31
Intermex,CA->SV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Intermex solo envia desde EE.UU.,2026-07-31
Walmart2World (Ria),US->SV,https://www.riamoneytransfer.com/en-us/walmart/,No,No aplica - no hay cotizador,No aplica,No visible,No visible,No visible,"Sin bloqueos: la pagina carga bien, simplemente no tiene calculadora. walmart.com/cp/walmart2world/6094059 devuelve 404.","Producto de mostrador: la landing de Ria solo ofrece 'Find a location' y 'Track a transfer'. El precio solo se conoce en la caja de Walmart o llamando. No sirve para monitoreo automatizado; usar como referencia el tarifario de Ria online, aclarando que es otro canal.",2026-07-31
Walmart2World (Ria),CA->SV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Walmart Canada no ofrece Walmart2World.,2026-07-31
WorldRemit,US->SV,https://www.worldremit.com/en (calculadora en portada; /en/united-states/el-salvador devuelve 404),No,"No, pero exige la app para cotizar",No - SPA,No visible,No visible,No visible,Insignia de reCAPTCHA presente (no se activo ningun reto). Banner de cookies. La ruta de corredor devuelve 404.,HALLAZGO CLAVE: para El Salvador el UNICO metodo de recepcion disponible es 'Airtime Top up' (recarga telefonica). No ofrece retiro en efectivo ni deposito bancario. Ademas: 'To see quotes for Airtime Top Up between El Salvador and United States please download our app'. En la practica WorldRemit no cubre este corredor de remesas: excluir del comparador o marcar como no disponible.,2026-07-31
WorldRemit,CA->SV,https://www.worldremit.com/en-ca,No,"No, pero exige la app para cotizar",No - SPA,No visible,No visible,No visible,reCAPTCHA presente. Banner de cookies.,Mismo resultado que el corredor US: solo 'Airtime Top up' y el mensaje 'please download our app'. Corredor de remesas no cubierto.,2026-07-31
Xoom (PayPal),US->SV,https://www.xoom.com/el-salvador/send-money,Si,No,No - el HTML del servidor no contiene el cotizador ni las tarifas; todo se renderiza por JS,Matriz completa publica (USD) para 200: DEPOSITO BANCARIO: PYUSD 0.00 / saldo PayPal 5.49 / cuenta bancaria 7.09 / tarjeta debito 7.09 / tarjeta credito 13.09. DEPOSITO EN TARJETA DE DEBITO: 0.00 / 0.99 / 4.69 / 4.69 / 12.39. PAGO EN VENTANILLA (efectivo): 0.00 / 7.69 / 8.19 / 9.29 / 14.19,1 USD = 1.0000 USD,200.00 USD,Banner de cookies (Aceptar/Rechazar). Sin CAPTCHA.,"EL MEJOR cotizador de todos los revisados: el enlace 'Ver tarifas' abre un modal con la matriz completa comision x metodo de entrega x metodo de pago, sin cuenta. Selector de moneda de origen (AUD/CAD/EUR/GBP/USD) en la misma URL. Trae 200.00 precargado por defecto.",2026-07-31
Xoom (PayPal),CA->SV,https://www.xoom.com/el-salvador/send-money (cambiar el selector de moneda a CAD),Si,No,No - JS,"4.99 CAD plana para TODOS los metodos de pago (saldo PayPal, cuenta bancaria, tarjeta debito, tarjeta credito), tanto en deposito bancario como en pago en ventanilla",1 CAD = 0.6797 USD,135.94 USD,Banner de cookies. Sin CAPTCHA.,"Desde Canada no aparece la opcion 'Deposito en tarjeta de debito' ni la de PYUSD. Aviso explicito: 'Ganamos dinero con el tipo de cambio'. 200 x 0.6797 = 135.94, o sea la comision va aparte del TC.",2026-07-31
RemitBee,US->SV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,RemitBee solo envia desde Canada (regulado por FINTRAC).,2026-07-31
RemitBee,CA->SV,https://www.remitbee.com/send-money/el-salvador,Si,No,No - SPA,2.99 CAD con Interac e-Transfer. A 500 CAD la comision pasa a 'Free' (umbral relevante para el corte de 500),1 CAD = 0.7092 USD,141.84 USD,Banner de cookies (Accept all / Decline all). Sin CAPTCHA.,"Cotizador limpio y sin promo de bienvenida que distorsione: el TC 0.7092 fue el mismo a 200 y a 500 CAD. Selector 'Pay with' (E-Transfer). Verificacion: 500 x 0.7092 = 354.60, coincide con lo mostrado.",2026-07-31
